exp_id,client,segment,variation_pair,final_mean_control,final_mean_test,final_lift,final_ci_low,final_ci_high,final_pvalue,final_dt,days_tracked
6911.0,UGT_IOS,Total,1 vs 2,0.6025840746737136,0.6279073275249077,4.202443097240197,-0.06978901029695746,0.12043551599934581,0.6017870066727986,2026-04-09,14
6977.0,UGT_ANDROID,Paid,1 vs 2,1.251249292517311,1.2148875885009005,-2.906031934152524,-0.23335177650006383,0.1606283684672426,0.7175143073073222,2026-05-05,9
6977.0,UGT_ANDROID,Total,1 vs 2,0.8588508433580622,0.9260149613078854,7.820230773391923,-0.014007607908573277,0.14833584380821974,0.10485951175424339,2026-05-05,9
7013.0,UGT_ANDROID,Total,1 vs 2,1.0024345143669111,1.0877788849601386,8.51371030925914,-0.3765696845138221,0.547258425700277,0.7172565752426774,2026-03-10,27
7013.0,UGT_IOS,Total,1 vs 2,0.9446922060250617,0.6414435392478213,-32.10026131719727,-0.49888751375881407,-0.10760981979566675,0.002381311395911938,2026-03-10,27
7022.0,UG_WEB DESKTOP,Total,1 vs 2,1.5821549389133274,1.3556026443502645,-14.319223041370776,-0.6592509520097175,0.20614636288359156,0.30479843699193543,2026-06-19,2
7022.0,UG_WEB MOBWEB,Total,1 vs 2,13.011851840549046,2.40703695791739,-81.50119608327924,-23.44683132709757,2.2372015618342562,0.10555066778092742,2026-06-19,2
7043.0,UGT_ANDROID,Total,1 vs 2,0.43307227217490074,0.4648898936063874,7.346954186583611,-0.04556599876431357,0.10920124162728684,0.4203159174819051,2026-03-04,14
7043.0,UGT_ANDROID,Total,1 vs 3,0.43307227217490074,0.42156869157915833,-2.6562727135522017,-0.08691410954756153,0.06390694835607667,0.764951625593095,2026-03-04,14
7043.0,UGT_IOS,Total,1 vs 2,0.9184606546175744,0.9396531013217629,2.3073875399717103,-0.08415919393416464,0.12654408734254163,0.6933856272109397,2026-03-04,14
7043.0,UGT_IOS,Total,1 vs 3,0.9184606546175744,0.894050807262387,-2.657691130530917,-0.12789921880359964,0.07907952409322466,0.6438711516460586,2026-03-04,14
7061.0,UGT_ANDROID,Total,1 vs 2,0.15248987215161391,0.12613213260669112,-17.284911563645657,-0.08759522988180735,0.03487975079196175,0.3988904688749264,2026-03-23,8
7061.0,UGT_ANDROID,Total,1 vs 3,0.15248987215161391,0.15044979730184269,-1.337842848830559,-0.0651430634720993,0.061062913772556834,0.9494764583692126,2026-03-23,8
7061.0,UGT_ANDROID,Total,1 vs 4,0.15248987215161391,0.15721359630224638,3.097729760003913,-0.059307845053436045,0.06875529335470096,0.8850345361719751,2026-03-23,8
7061.0,UGT_ANDROID,Total,1 vs 5,0.15248987215161391,0.09220161318182615,-39.53591023398972,-0.11775970766298474,-0.002816810276590795,0.03977997073309573,2026-03-23,8
7061.0,UGT_ANDROID,Total,1 vs 6,0.15248987215161391,0.1534703414436989,0.6429733845603476,-0.06144080524710849,0.06340174383127843,0.9754404208855028,2026-03-23,8
7061.0,UGT_IOS,Total,1 vs 2,0.19785074595157398,0.1820346880316931,-7.993933934296124,-0.060078704103713444,0.028446588263951654,0.4837149649930673,2026-03-23,8
7061.0,UGT_IOS,Total,1 vs 3,0.19785074595157398,0.21264182825551678,7.475878967655279,-0.030945244847492052,0.060527409455377636,0.5261784671013869,2026-03-23,8
7061.0,UGT_IOS,Total,1 vs 4,0.19785074595157398,0.2394691473693967,21.035251202949347,-0.006150166120089222,0.08938696895573464,0.08770684934066625,2026-03-23,8
7061.0,UGT_IOS,Total,1 vs 5,0.19785074595157398,0.1998665733204744,1.0188626579117386,-0.0434679182154859,0.0474995729532867,0.930778759429033,2026-03-23,8
7061.0,UGT_IOS,Total,1 vs 6,0.19785074595157398,0.21885645737555323,10.616948307650361,-0.025215763625209837,0.06722718647316833,0.37307887304026466,2026-03-23,8
7085.0,UGT_ANDROID,Splashes,1 vs 2,0.046499284703744884,0.00904571899057446,-80.54654163347602,-0.056845135586251136,-0.01806199584008971,0.00015337272744196442,2026-03-02,5
7085.0,UGT_ANDROID,Total,1 vs 2,0.3193201491364948,0.29950492892208047,-6.205439984917531,-0.0881492341338464,0.0485187937050177,0.5698024888869748,2026-03-02,5
7085.0,UGT_IOS,Splashes,1 vs 2,0.047031553730029985,0.0085645208476022,-81.7898407168001,-0.05461850478050336,-0.022315560984352206,3.0424412334118904e-06,2026-03-02,5
7085.0,UGT_IOS,Total,1 vs 2,0.6345394948778005,0.6588259217962904,3.827409816810063,-0.06287129464208854,0.11144414847906838,0.5849680969547164,2026-03-02,5
7100.0,UGT_ANDROID,Total,1 vs 2,0.6060959192844504,0.6451235186629575,0.0643917870699123,-0.060723450024024,0.13877864878103816,0.44317906823803443,2026-03-12,9
7100.0,UGT_IOS,Total,1 vs 2,1.2941873235193817,1.3028213934776007,0.006671422135970042,-0.1442772374381675,0.1615453773546055,0.9118792199718677,2026-03-12,9
7118.0,UGT_IOS,Instant Offers,1 vs 2,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-13,10
7118.0,UGT_IOS,Instant Offers,1 vs 3,0.0,0.0,0.0,0.0,0.0,1.0,2026-03-13,10
7118.0,UGT_IOS,Pro Trials,1 vs 2,0.1053776874754309,0.07067059024581013,-32.9359070796774,-0.05415534974565448,-0.015258844713587068,0.0004692427621979448,2026-03-13,10
7118.0,UGT_IOS,Pro Trials,1 vs 3,0.1053776874754309,0.13187728641483829,25.14725799575535,0.0038241809394308074,0.04917501693938396,0.021991800596900417,2026-03-13,10
7118.0,UGT_IOS,Total,1 vs 2,0.5091697346040134,0.6371834848390006,25.141665251283012,0.06998837055906557,0.18603912991090876,1.5321813062344517e-05,2026-03-13,10
7118.0,UGT_IOS,Total,1 vs 3,0.5091697346040134,0.6262642115218636,22.997140041898962,0.05833611474158651,0.17585283909411398,9.389733223377997e-05,2026-03-13,10
7118.0,UGT_IOS,Tour Install,1 vs 2,0.16778084265410254,0.2325582352473416,38.60833666617369,0.0216312114618566,0.1079235737246215,0.0032548317402767537,2026-03-13,10
7118.0,UGT_IOS,Tour Install,1 vs 3,0.16778084265410254,0.2326183870914958,38.644188103800694,0.020748312319251914,0.1089267765555346,0.003947592770344829,2026-03-13,10
7130.0,UGT_ANDROID,Splashes,1 vs 2,0.05630551379238845,0.02884280547015319,-48.774456483066054,-0.06743417759459161,0.012508760950121083,0.17810636360566023,2026-03-16,6
7130.0,UGT_ANDROID,Splashes,1 vs 3,0.05630551379238845,0.007556829064872035,-86.57888267792774,-0.08475832573760829,-0.012739043717424549,0.007970055892811363,2026-03-16,6
7130.0,UGT_ANDROID,Total,1 vs 2,0.3606120947182063,0.30966755694659626,-14.127240466357552,-0.17788579683102798,0.07599672128780782,0.4315277538457797,2026-03-16,6
7130.0,UGT_ANDROID,Total,1 vs 3,0.3606120947182063,0.20763186588151405,-42.42237880463656,-0.2687711570412169,-0.03718930063216769,0.009612716397614627,2026-03-16,6
7130.0,UGT_IOS,Splashes,1 vs 2,0.06275355965711447,0.032440599630723224,-48.304765804555636,-0.06657433116739134,0.005948411114608823,0.1013286243598158,2026-03-16,6
7130.0,UGT_IOS,Splashes,1 vs 3,0.06275355965711447,0.018681931986541778,-70.22968563278343,-0.0800953608557601,-0.008047894485385301,0.016492499026825334,2026-03-16,6
7130.0,UGT_IOS,Total,1 vs 2,0.6139194002406795,0.6338269957731436,3.242705072467103,-0.12544563220605315,0.16526082327098138,0.7883630371826419,2026-03-16,6
7130.0,UGT_IOS,Total,1 vs 3,0.6139194002406795,0.4996884799058652,-18.60682693689619,-0.2545045000350421,0.0260426593654135,0.11046992328174449,2026-03-16,6
7133.0,UGT_IOS,Total,1 vs 2,0.6283738693178674,0.6538795023089485,0.0405899007525071,-0.016579454857746208,0.06759072083990841,0.23489859320242734,2026-03-26,7
7142.0,UGT_ANDROID,Total,1 vs 2,0.7725797305250262,0.6997081819333528,-9.432236662765101,-0.5013699406594194,0.35562684347607265,0.7388953390663148,2026-03-18,3
7142.0,UGT_ANDROID,Tour,1 vs 2,0.3763090557763427,0.586196432167426,55.77526588034829,-0.13717368384622608,0.5569484366283926,0.23589859859396656,2026-03-18,3
7142.0,UGT_IOS,Total,1 vs 2,2.286896413986123,1.3971465293525334,-38.90643577872998,-1.6301710221188055,-0.1493287471483744,0.018510190842154172,2026-03-18,3
7142.0,UGT_IOS,Tour,1 vs 2,1.7126686661210777,1.0097437309962447,-41.042669199807705,-1.4005405029621771,-0.005309367287489097,0.048281682289460996,2026-03-18,3
7160.0,UGT_ANDROID,Interstitials,1 vs 2,0.10156363721327348,0.11933853013174876,17.501237062975388,-0.061171698242438594,0.09672148407938914,0.6590048183842585,2026-03-18,3
7160.0,UGT_ANDROID,Total,1 vs 2,0.29584545870260764,0.2851640979148237,-3.6104528474513895,-0.13513739778418804,0.11377467620862018,0.8664159726833727,2026-03-18,3
7160.0,UGT_IOS,Interstitials,1 vs 2,0.09157259251757864,0.19797331153799633,116.19275603668487,0.04797052325007647,0.1648309147907589,0.0003582479326266612,2026-03-18,3
7160.0,UGT_IOS,Total,1 vs 2,0.5128328788486649,0.5758225700448232,12.282693601387889,-0.06040017770097739,0.1863795600932939,0.31704522539930524,2026-03-18,3
7178.0,UG_WEB,Total,1 vs 2,1.2399715465023515,1.1882748067876832,-0.041691875801901986,-0.22069484744256732,0.11730136801323052,0.5488024999100874,2026-03-26,8
7187.0,UGT_ANDROID,Interstitials,1 vs 2,0.05452597487024414,0.08256127213422615,51.4164071906973,-0.020130874559518487,0.07620146908748249,0.25395139672657074,2026-03-27,8
7187.0,UGT_ANDROID,Interstitials,1 vs 3,0.05452597487024414,0.15119268199654476,177.28560994340606,0.036643163388691107,0.15669025086391014,0.0015968447757674867,2026-03-27,8
7187.0,UGT_ANDROID,Total,1 vs 2,0.1948106079132526,0.19286972046459572,-0.9962945393205441,-0.08036866299284694,0.07648688809553314,0.9613144885317595,2026-03-27,8
7187.0,UGT_ANDROID,Total,1 vs 3,0.1948106079132526,0.2849169096682717,46.253282980946615,0.0009987579916587164,0.17921384551837946,0.047486834527327444,2026-03-27,8
7187.0,UGT_IOS,Interstitials,1 vs 2,0.07821968961811626,0.13226830924602256,69.09848388785763,0.02407183133727807,0.08402540791853452,0.00040955992089115173,2026-03-27,8
7187.0,UGT_IOS,Interstitials,1 vs 3,0.07821968961811626,0.21258119007256707,171.7745252000229,0.09917672337402522,0.1695462775348764,7.176973283276171e-14,2026-03-27,8
7187.0,UGT_IOS,Total,1 vs 2,0.38068315650992773,0.5122490032897385,34.5604591456044,0.0604603006120895,0.20267139294753211,0.00028728791065306446,2026-03-27,8
7187.0,UGT_IOS,Total,1 vs 3,0.38068315650992773,0.46790380538656645,22.91161229098512,0.020050544441987214,0.1543907533112902,0.010927114719254012,2026-03-27,8
7193.0,UG_WEB,Total,1 vs 2,1.8921892948482242,1.8174269719476503,-3.9511016738190907,-0.9170392505253567,0.7675146047242088,0.8618885323765643,2026-04-02,4
7193.0,UG_WEB,Total,1 vs 3,1.8921892948482242,1.415948853678851,-25.16875253792054,-1.2970341168093573,0.3445532344706105,0.2554508452374049,2026-04-02,4
7199.0,UG_WEB,Total,1 vs 2,11.994572610876437,12.805062671390667,6.757139973285032,-0.7678662231609992,2.3888463441894583,0.31420078282150077,2026-04-07,8
7208.0,UGT_IOS,Total,1 vs 2,2.2587972132155687,1.6824743923374559,-25.514588804440468,-1.0548752656311577,-0.09777037612506806,0.018255570318505204,2026-03-29,3
7208.0,UGT_IOS,Total,1 vs 3,2.2587972132155687,1.9111638889595457,-15.390196261183654,-0.8294101899583259,0.13414354144627988,0.15729103230659022,2026-03-29,3
7208.0,UGT_IOS,Tour,1 vs 2,1.7882731346190652,1.2282999590201702,-31.313626803333904,-1.0160251024852218,-0.10392124871256841,0.01610250177903922,2026-03-29,3
7208.0,UGT_IOS,Tour,1 vs 3,1.7882731346190652,1.3381951056147015,-25.168304566642085,-0.9071341658041395,0.006978107795411859,0.05360185442402654,2026-03-29,3
7211.0,UGT_ANDROID,Total,1 vs 2,5.875772736397656,5.529701424720051,-5.889800834771151,-1.3440908161567333,0.6519481928015234,0.4967366678738343,2026-04-14,19
