exp_id,daily_dollar,min_p,clients,tag,exp_name,success_variation,control_rev_per_day,control_members_per_day
7466,679.3038505060814,0.0329395507537472,2,winner_pair,[UG Monetization] UG App: Tour: Popular Songs in Tour Install,2,5211.74088143516,3273.7058823529414
7472,-61.05751202515951,0.1865860560516284,1,best_pair,[UG Monetization] UG Web: Courses funnel design alignment,0,209.95634285996599,198.41463414634146
7475,-116.13551786607388,0.0086968137100947,1,best_pair,[UG Monetization] UG Web: Songbooks funnel design alignment,0,180.3797145298549,216.9142857142857
7478,-428.1175130645802,0.4733309509787885,1,best_pair,[UG Monetization] UG iOS: tour paywall - tour install with 2 paywalls (3rd Iteration),0,2016.0791540145888,1121.5
7487,74.31600004057037,0.2774468037552693,2,winner_pair,[UG Monetization] UG App: winback - final interstitial offer,2,269.16734786732025,649.6565656565657
7493,-729.0778045422279,0.0354167692719463,1,best_pair,[UG Monetization] UG Android: Paywall with three products,0,2165.8370284177363,5056.75
7496,582.6074299020098,0.0978082946305127,1,best_pair,[UG Monetization] UG iOS: paywall – remove trial activation toggle (5-th Iteration),0,4274.239403745262,2058.5384615384614
7502,-513.4421896060452,0.1196887087945925,1,best_pair,[UG Monetization] UG Web: Three-month / Six month plans,0,2217.520005152776,1449.8461538461538
7505,302.56131190422707,0.3859318646341855,1,winner_pair,[UG Monetization] UG Web: paywall – introductory plan with decreased price,2,3514.664552081715,2986.5454545454545
7523,-68.35126260398465,0.8108599504457982,1,best_pair,[UG Monetization] UG Web : hidden card details checkout,0,4497.820728097643,418.5
7535,413.9980263887879,0.0614639107132817,1,best_pair,[UG Monetization] UG Web: Double upsell flow ,0,1685.6583188904656,228.72222222222223
7547,26.82610923726983,0.931529840099214,1,best_pair,[UG Monetization] UG App: Upsell – Gear Setup OTP (2 iteration - with reader),0,6745.252344120897,61489.333333333336
7559,52.63806433606746,0.83674415538407,1,best_pair,[UG Monetization] UG Web: Personalized tour-to-paywall funnel,0,1507.671115981208,4365.555555555556
7568,492.6583355683084,0.1059640539031403,1,winner_pair,"[UG Monetization] UG App: tour, paywall – Propensity-targeted instant vs trial paywall",2,2829.5358661677074,1360.2727272727273
7577,472.5707219724565,0.0399902660111028,1,best_pair,[UG Monetization] UG App: first session flow update (3 iteration),0,934.8920818301642,2125.6666666666665
7598,-801.5203287552217,0.0506133272823104,1,best_pair,[UG Monetization] UG Web: permanent banner — two plans: trial & monthly,0,3180.491429737636,78213.57142857143
7604,204.85702770560837,0.0725147544354487,1,best_pair,[UG Monetization] UG App: tour install - personalized post-decline offer,0,1739.9630301732318,2220.25
7607,461.4257523972546,0.26794044379298,1,best_pair,[UG Monetization] UG App: Upsell – Gear Setup OTP (3 iteration),0,3563.07297961224,17938.4
7610,235.57086707054572,0.0188848419984695,2,winner_pair,[UG Monetization] UG App: tour - Courses upsell offer instead of install tour for active-Pro users,2,386.81578092033203,781.6363636363636
7622,446.31347801085167,0.0004405171034322,1,best_pair,[UG Monetization] UG App: first session flow update (3 iteration - relaunch),0,1052.8099668523755,2164.2676767676767
7625,376.20152463872944,0.2208754487770466,1,winner_pair,[UG Monetization] UG Web: paywall – introductory plan with decreased price - Iteration 2,2,2852.708335796992,1801.8333333333333
7628,-68.71074676207073,0.8499286824575114,1,best_pair,[UG Monetization] UG Web: Direct payment on paywall,0,2921.328757047653,1809.625
7631,-40.445745887124396,0.7380876318494265,1,best_pair,[UG Monetization] UG App: reduction in advertising volume (2 iteration),0,1745.501690056547,3781.3333333333335
7634,-70.13970855544724,0.1141805541173626,2,winner_pair,[UG Monetization] UG App: reduction in advertising volume (relaunch),2,1832.0774592807074,3765.777777777778
7637,2034.6865238888906,0.024599333828287,1,best_pair,[UG Monetization] UG Web: guitar challenges & roadmaps (fakedoors),0,838.1880016326904,23692.8
7640,153.54752292558553,0.5391481389242068,1,best_pair,[UG Monetization] UG App: New paywall arch validation,0,1951.5046180129214,2714.0
7643,59.57978504725285,0.7541857812797748,1,best_pair,[UG Monetization] UG WEB: complete registration paywall with trial,0,716.9828533445086,860.8571428571429
7679,-56.51748541162819,0.4998482446908194,1,best_pair,[UG Monetization] UG App: learn song in one day,0,783.7451177058349,2157.0
7685,331.7664640508255,0.1688371798390558,1,winner_pair,[UG Monetization] UG Web: Add timer to plan,2,1802.5908331871033,967.3333333333334
7691,-334.22863265468834,0.3204860103992439,1,best_pair,[UG Monetization] UG iOS: Winback - Refund Prevention,0,5833.20277544658,57742.6
7694,-68.15020348712295,0.5268035053868115,1,best_pair,[UG Monetization] UG Web: permanent banner —  two plans: offer & monthly,0,311.47142764500205,60.0
7697,-46.05831338502853,0.3385359288331443,1,best_pair,[UG Monetization] UG App: tour - Local top‑100 for song picks during the tour,0,342.394183187199,712.529411764706
7712,-23.97836103304292,0.7088731054001649,1,best_pair,[UG Monetization] UG App: interstitials - discounted prices,0,560.0489125172826,1517.888888888889
7718,-956.3808597799525,0.1222889877248987,1,best_pair,[UG Monetization] UG iOS: paywall — trial-only paywall after checkout cancel,0,4795.284833839163,2384.5
7745,3.3420209077398764,0.9933852019618792,1,best_pair,[UG Monetization] UG Web: Ambulance offer show reduction,0,3210.4037573337555,2288.0
7763,-6.905797566979184,0.9366664225464968,1,best_pair,[UG Monetization] UG App: learn song in one day (2 iteration),0,396.73351002304605,1086.0
