exp_id,client,segment,variation,metric,final_value,first_dt,final_dt,days_tracked
7085.0,UGT_ANDROID,Splashes,2.0,members,16853.0,2026-02-26,2026-03-02,5
7085.0,UGT_ANDROID,Splashes,2.0,revenue,152.4475021481514,2026-02-26,2026-03-02,5
7085.0,UGT_ANDROID,Total,1.0,members,16782.0,2026-02-26,2026-03-02,5
7085.0,UGT_ANDROID,Total,1.0,revenue,5358.830742808656,2026-02-26,2026-03-02,5
7085.0,UGT_ANDROID,Total,2.0,members,16853.0,2026-02-26,2026-03-02,5
7085.0,UGT_ANDROID,Total,2.0,revenue,5047.556567123822,2026-02-26,2026-03-02,5
7085.0,UGT_IOS,Splashes,1.0,members,17074.0,2026-02-26,2026-03-02,5
7085.0,UGT_IOS,Splashes,1.0,revenue,803.016748386532,2026-02-26,2026-03-02,5
7085.0,UGT_IOS,Splashes,2.0,members,16917.0,2026-02-26,2026-03-02,5
7085.0,UGT_IOS,Splashes,2.0,revenue,144.8859991788864,2026-02-26,2026-03-02,5
7085.0,UGT_IOS,Total,1.0,members,17074.0,2026-02-26,2026-03-02,5
7085.0,UGT_IOS,Total,1.0,revenue,10834.127335543566,2026-02-26,2026-03-02,5
7085.0,UGT_IOS,Total,2.0,members,16917.0,2026-02-26,2026-03-02,5
7085.0,UGT_IOS,Total,2.0,revenue,11145.358119027846,2026-02-26,2026-03-02,5
7118.0,UGT_IOS,Instant Offers,1.0,members,51265.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Instant Offers,1.0,revenue,0.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Instant Offers,2.0,members,51598.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Instant Offers,2.0,revenue,0.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Instant Offers,3.0,members,51419.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Instant Offers,3.0,revenue,0.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Pro Trials,1.0,members,51265.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Pro Trials,1.0,revenue,5402.187148427965,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Pro Trials,2.0,members,51598.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Pro Trials,2.0,revenue,3646.4611155033112,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Pro Trials,3.0,members,51419.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Pro Trials,3.0,revenue,6780.99819016457,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Total,1.0,members,51265.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Total,1.0,revenue,26102.586444474746,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Total,2.0,members,51598.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Total,2.0,revenue,32877.39345072275,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Total,3.0,members,51419.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Total,3.0,revenue,32201.879492242704,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Tour Install,1.0,members,51265.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Tour Install,1.0,revenue,8601.284898662567,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Tour Install,2.0,members,51598.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Tour Install,2.0,revenue,11999.539822292332,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Tour Install,3.0,members,51419.0,2026-03-04,2026-03-13,10
7118.0,UGT_IOS,Tour Install,3.0,revenue,11961.004845857622,2026-03-04,2026-03-13,10
7130.0,UGT_ANDROID,Splashes,1.0,members,5170.0,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Splashes,1.0,revenue,291.09950630664827,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Splashes,2.0,members,5261.0,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Splashes,2.0,revenue,151.74199957847594,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Splashes,3.0,members,5191.0,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Splashes,3.0,revenue,39.227499675750735,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Total,1.0,members,5170.0,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Total,1.0,revenue,1864.3645296931268,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Total,2.0,members,5261.0,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Total,2.0,revenue,1629.161017096043,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Total,3.0,members,5191.0,2026-03-11,2026-03-16,6
7130.0,UGT_ANDROID,Total,3.0,revenue,1077.8170157909394,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Splashes,1.0,members,5198.0,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Splashes,1.0,revenue,326.19300309768107,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Splashes,2.0,members,5202.0,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Splashes,2.0,revenue,168.7559992790222,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Splashes,3.0,members,5197.0,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Splashes,3.0,revenue,97.09000053405762,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Total,1.0,members,5198.0,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Total,1.0,revenue,3191.153042451052,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Total,2.0,members,5202.0,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Total,2.0,revenue,3297.168032011893,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Total,3.0,members,5197.0,2026-03-11,2026-03-16,6
7130.0,UGT_IOS,Total,3.0,revenue,2596.8810300707814,2026-03-11,2026-03-16,6
